Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
West Bank and Gaza,PSE,2009,Adequacy of benefits in 5th quintile (richest) (%) -All Social Protection and Labor -urban,per_allsp.adq_q5_urb,10.7342157237371
West Bank and Gaza,PSE,2009,Average per capita transfer -All Social Protection and Labor (preT),per_allsp.avt_pop_preT_tot,0.909649257744097
West Bank and Gaza,PSE,2009,Average per capita transfer -All Social Protection and Labor -rural,per_allsp.avt_pop_rur,1.4704440152044
West Bank and Gaza,PSE,2009,Average per capita transfer -All Social Protection and Labor,per_allsp.avt_pop_tot,0.909649257744097
West Bank and Gaza,PSE,2009,Average per capita transfer -All Social Protection and Labor -urban,per_allsp.avt_pop_urb,0.806081381401268
West Bank and Gaza,PSE,2009,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor (preT),per_allsp.avt_q1_preT_tot,1.06287492343412
West Bank and Gaza,PSE,2009,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor -rural,per_allsp.avt_q1_rur,0.743045313035857
West Bank and Gaza,PSE,2009,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor,per_allsp.avt_q1_tot,0.428754099149879
West Bank and Gaza,PSE,2009,Average per capita transfer held by 1st quintile (poorest) -All Social Protection and Labor -urban,per_allsp.avt_q1_urb,0.346965724699641
West Bank and Gaza,PSE,2009,Average per capita transfer held by 2nd quintile -All Social Protection and Labor (preT),per_allsp.avt_q2_preT_tot,0.704419058576031
West Bank and Gaza,PSE,2009,Average per capita transfer held by 2nd quintile -All Social Protection and Labor -rural,per_allsp.avt_q2_rur,1.24224050950325
West Bank and Gaza,PSE,2009,Average per capita transfer held by 2nd quintile -All Social Protection and Labor,per_allsp.avt_q2_tot,0.878197639912652
West Bank and Gaza,PSE,2009,Average per capita transfer held by 2nd quintile -All Social Protection and Labor -urban,per_allsp.avt_q2_urb,0.843801357170596
West Bank and Gaza,PSE,2009,Average per capita transfer held by 3rd quintile -All Social Protection and Labor (preT),per_allsp.avt_q3_preT_tot,0.700164589772594
West Bank and Gaza,PSE,2009,Average per capita transfer held by 3rd quintile -All Social Protection and Labor -rural,per_allsp.avt_q3_rur,1.41260932627422
West Bank and Gaza,PSE,2009,Average per capita transfer held by 3rd quintile -All Social Protection and Labor,per_allsp.avt_q3_tot,0.987276928845655
West Bank and Gaza,PSE,2009,Average per capita transfer held by 3rd quintile -All Social Protection and Labor -urban,per_allsp.avt_q3_urb,0.882570474303596
West Bank and Gaza,PSE,2009,Average per capita transfer held by 4th quintile -All Social Protection and Labor (preT),per_allsp.avt_q4_preT_tot,0.631958765641101
West Bank and Gaza,PSE,2009,Average per capita transfer held by 4th quintile -All Social Protection and Labor -rural,per_allsp.avt_q4_rur,3.55794657091227
West Bank and Gaza,PSE,2009,Average per capita transfer held by 4th quintile -All Social Protection and Labor,per_allsp.avt_q4_tot,1.92709524586116
West Bank and Gaza,PSE,2009,Average per capita transfer held by 4th quintile -All Social Protection and Labor -urban,per_allsp.avt_q4_urb,1.6148188147198
West Bank and Gaza,PSE,2009,Average per capita transfer held by 5th quintile (richest) -All Social Protection and Labor (preT),per_allsp.avt_q5_preT_tot,1.51843905635826
West Bank and Gaza,PSE,2009,Average per capita transfer held by 5th quintile (richest) -All Social Protection and Labor -rural,per_allsp.avt_q5_rur,4.17020578806383
West Bank and Gaza,PSE,2009,Average per capita transfer held by 5th quintile (richest) -All Social Protection and Labor,per_allsp.avt_q5_tot,2.0725080789853
West Bank and Gaza,PSE,2009,Average per capita transfer held by 5th quintile (richest) -All Social Protection and Labor -urban,per_allsp.avt_q5_urb,1.84406679424943
West Bank and Gaza,PSE,2009,Benefits incidence in 1st quintile (poorest) (%) -All Social Protection and Labor (preT),per_allsp.ben_q1_preT_tot,56.4473827321041
West Bank and Gaza,PSE,2009,Benefits incidence in 1st quintile (poorest) (%) -All Social Protection and Labor -rural,per_allsp.ben_q1_rur,22.3629807568435
West Bank and Gaza,PSE,2009,Benefits incidence in 1st quintile (poorest) (%) -All Social Protection and Labor -urban,per_allsp.ben_q1_urb,16.5760625417679
West Bank and Gaza,PSE,2009,Benefits incidence in 2nd quintile (%) -All Social Protection and Labor (preT),per_allsp.ben_q2_preT_tot,16.0518102228201
West Bank and Gaza,PSE,2009,Benefits incidence in 2nd quintile (%) -All Social Protection and Labor -rural,per_allsp.ben_q2_rur,14.0275746614687
West Bank and Gaza,PSE,2009,Benefits incidence in 2nd quintile (%) -All Social Protection and Labor,per_allsp.ben_q2_tot,20.4722076335025
West Bank and Gaza,PSE,2009,Benefits incidence in 2nd quintile (%) -All Social Protection and Labor -urban,per_allsp.ben_q2_urb,23.6501344578663
West Bank and Gaza,PSE,2009,Benefits incidence in 3rd quintile (%) -All Social Protection and Labor (preT),per_allsp.ben_q3_preT_tot,13.9579018773558
West Bank and Gaza,PSE,2009,Benefits incidence in 3rd quintile (%) -All Social Protection and Labor -rural,per_allsp.ben_q3_rur,22.0249047062342
West Bank and Gaza,PSE,2009,Benefits incidence in 3rd quintile (%) -All Social Protection and Labor,per_allsp.ben_q3_tot,23.8047494187035
West Bank and Gaza,PSE,2009,Benefits incidence in 3rd quintile (%) -All Social Protection and Labor -urban,per_allsp.ben_q3_urb,23.6218570618211
West Bank and Gaza,PSE,2009,Benefits incidence in 4th quintile (%) -All Social Protection and Labor (preT),per_allsp.ben_q4_preT_tot,5.61027589496108
West Bank and Gaza,PSE,2009,Benefits incidence in 4th quintile (%) -All Social Protection and Labor -rural,per_allsp.ben_q4_rur,25.5583712652796
West Bank and Gaza,PSE,2009,Benefits incidence in 4th quintile (%) -All Social Protection and Labor,per_allsp.ben_q4_tot,23.8680187916109
West Bank and Gaza,PSE,2009,Benefits incidence in 4th quintile (%) -All Social Protection and Labor -urban,per_allsp.ben_q4_urb,24.4881048739465
West Bank and Gaza,PSE,2009,Benefits incidence in 5th quintile (richest) (%) -All Social Protection and Labor (preT),per_allsp.ben_q5_preT_tot,7.93262927275885
West Bank and Gaza,PSE,2009,Benefits incidence in 5th quintile (richest) (%) -All Social Protection and Labor -rural,per_allsp.ben_q5_rur,16.0261686101739
West Bank and Gaza,PSE,2009,Benefits incidence in 5th quintile (richest) (%) -All Social Protection and Labor,per_allsp.ben_q5_tot,13.0676027961685
West Bank and Gaza,PSE,2009,Benefits incidence in 5th quintile (richest) (%) -All Social Protection and Labor -urban,per_allsp.ben_q5_urb,11.6638410645982
West Bank and Gaza,PSE,2009,Beneficiary incidence in 1st quintile (poorest) (%) -All Social Protection and Labor (preT),per_allsp.bry_q1_preT_tot,48.3098421759294
West Bank and Gaza,PSE,2007,Beneficiary incidence in 1st quintile (poorest) (%) -All Social Protection and Labor (preT),per_allsp.bry_q1_preT_tot,38.7343166438906
West Bank and Gaza,PSE,2009,Beneficiary incidence in 1st quintile (poorest) (%) -All Social Protection and Labor -rural,per_allsp.bry_q1_rur,44.2550550271016
West Bank and Gaza,PSE,2007,Beneficiary incidence in 1st quintile (poorest) (%) -All Social Protection and Labor -rural,per_allsp.bry_q1_rur,20.5075638033321
West Bank and Gaza,PSE,2009,Beneficiary incidence in 1st quintile (poorest) (%) -All Social Protection and Labor,per_allsp.bry_q1_tot,39.8595930136841
West Bank and Gaza,PSE,2007,Beneficiary incidence in 1st quintile (poorest) (%) -All Social Protection and Labor,per_allsp.bry_q1_tot,38.7343166438906
West Bank and Gaza,PSE,2009,Beneficiary incidence in 1st quintile (poorest) (%) -All Social Protection and Labor -urban,per_allsp.bry_q1_urb,38.510015372351
West Bank and Gaza,PSE,2007,Beneficiary incidence in 1st quintile (poorest) (%) -All Social Protection and Labor -urban,per_allsp.bry_q1_urb,38.893092768491
West Bank and Gaza,PSE,2009,Beneficiary incidence in 2nd quintile (%) -All Social Protection and Labor (preT),per_allsp.bry_q2_preT_tot,20.7284528674651
West Bank and Gaza,PSE,2007,Beneficiary incidence in 2nd quintile (%) -All Social Protection and Labor (preT),per_allsp.bry_q2_preT_tot,24.4328004822877
West Bank and Gaza,PSE,2009,Beneficiary incidence in 2nd quintile (%) -All Social Protection and Labor -rural,per_allsp.bry_q2_rur,16.6044844383943
West Bank and Gaza,PSE,2007,Beneficiary incidence in 2nd quintile (%) -All Social Protection and Labor -rural,per_allsp.bry_q2_rur,30.2808014679629
West Bank and Gaza,PSE,2009,Beneficiary incidence in 2nd quintile (%) -All Social Protection and Labor,per_allsp.bry_q2_tot,21.2053957239635
West Bank and Gaza,PSE,2007,Beneficiary incidence in 2nd quintile (%) -All Social Protection and Labor,per_allsp.bry_q2_tot,24.4328004822877
West Bank and Gaza,PSE,2009,Beneficiary incidence in 2nd quintile (%) -All Social Protection and Labor -urban,per_allsp.bry_q2_urb,22.5929158469798
West Bank and Gaza,PSE,2007,Beneficiary incidence in 2nd quintile (%) -All Social Protection and Labor -urban,per_allsp.bry_q2_urb,20.8490421382355
West Bank and Gaza,PSE,2009,Beneficiary incidence in 3rd quintile (%) -All Social Protection and Labor (preT),per_allsp.bry_q3_preT_tot,18.1340148700257
West Bank and Gaza,PSE,2007,Beneficiary incidence in 3rd quintile (%) -All Social Protection and Labor (preT),per_allsp.bry_q3_preT_tot,18.3707059362517
West Bank and Gaza,PSE,2009,Beneficiary incidence in 3rd quintile (%) -All Social Protection and Labor -rural,per_allsp.bry_q3_rur,22.9266427088861
West Bank and Gaza,PSE,2007,Beneficiary incidence in 3rd quintile (%) -All Social Protection and Labor -rural,per_allsp.bry_q3_rur,21.3840649557982
West Bank and Gaza,PSE,2009,Beneficiary incidence in 3rd quintile (%) -All Social Protection and Labor,per_allsp.bry_q3_tot,21.933028116869
West Bank and Gaza,PSE,2007,Beneficiary incidence in 3rd quintile (%) -All Social Protection and Labor,per_allsp.bry_q3_tot,18.3707059362517
West Bank and Gaza,PSE,2009,Beneficiary incidence in 3rd quintile (%) -All Social Protection and Labor -urban,per_allsp.bry_q3_urb,21.5746387694203
West Bank and Gaza,PSE,2007,Beneficiary incidence in 3rd quintile (%) -All Social Protection and Labor -urban,per_allsp.bry_q3_urb,22.0378779374434
West Bank and Gaza,PSE,2009,Beneficiary incidence in 4th quintile (%) -All Social Protection and Labor (preT),per_allsp.bry_q4_preT_tot,8.07550046151148
West Bank and Gaza,PSE,2007,Beneficiary incidence in 4th quintile (%) -All Social Protection and Labor (preT),per_allsp.bry_q4_preT_tot,13.9430534192821
West Bank and Gaza,PSE,2009,Beneficiary incidence in 4th quintile (%) -All Social Protection and Labor -rural,per_allsp.bry_q4_rur,10.5628775801899
West Bank and Gaza,PSE,2007,Beneficiary incidence in 4th quintile (%) -All Social Protection and Labor -rural,per_allsp.bry_q4_rur,13.536609518692
West Bank and Gaza,PSE,2009,Beneficiary incidence in 4th quintile (%) -All Social Protection and Labor,per_allsp.bry_q4_tot,11.26645173571
West Bank and Gaza,PSE,2007,Beneficiary incidence in 4th quintile (%) -All Social Protection and Labor,per_allsp.bry_q4_tot,13.9430534192821
West Bank and Gaza,PSE,2009,Beneficiary incidence in 4th quintile (%) -All Social Protection and Labor -urban,per_allsp.bry_q4_urb,12.2239134352141
West Bank and Gaza,PSE,2007,Beneficiary incidence in 4th quintile (%) -All Social Protection and Labor -urban,per_allsp.bry_q4_urb,13.0013239906198
West Bank and Gaza,PSE,2009,Beneficiary incidence in 5th quintile (richest) (%) -All Social Protection and Labor (preT),per_allsp.bry_q5_preT_tot,4.75218962506829
West Bank and Gaza,PSE,2007,Beneficiary incidence in 5th quintile (richest) (%) -All Social Protection and Labor (preT),per_allsp.bry_q5_preT_tot,4.51912351828787
West Bank and Gaza,PSE,2009,Beneficiary incidence in 5th quintile (richest) (%) -All Social Protection and Labor -rural,per_allsp.bry_q5_rur,5.65094024542808
West Bank and Gaza,PSE,2007,Beneficiary incidence in 5th quintile (richest) (%) -All Social Protection and Labor -rural,per_allsp.bry_q5_rur,14.2909602542148
West Bank and Gaza,PSE,2009,Beneficiary incidence in 5th quintile (richest) (%) -All Social Protection and Labor,per_allsp.bry_q5_tot,5.7355314097734
West Bank and Gaza,PSE,2007,Beneficiary incidence in 5th quintile (richest) (%) -All Social Protection and Labor,per_allsp.bry_q5_tot,4.51912351828787
West Bank and Gaza,PSE,2009,Beneficiary incidence in 5th quintile (richest) (%) -All Social Protection and Labor -urban,per_allsp.bry_q5_urb,5.09851657603485
West Bank and Gaza,PSE,2007,Beneficiary incidence in 5th quintile (richest) (%) -All Social Protection and Labor -urban,per_allsp.bry_q5_urb,5.21866316521027
West Bank and Gaza,PSE,2009,Benefit-cost ratio - All Social Protection and Labor -1st quintile (poorest) (preT),per_allsp.cba_q1_preT_tot,0.359708594910465
West Bank and Gaza,PSE,2009,Benefit-cost ratio - All Social Protection and Labor -1st quintile (poorest) -rural,per_allsp.cba_q1_rur,0.348001882820091
West Bank and Gaza,PSE,2009,Benefit-cost ratio - All Social Protection and Labor -1st quintile (poorest),per_allsp.cba_q1_tot,0.359708594910465
West Bank and Gaza,PSE,2009,Benefit-cost ratio - All Social Protection and Labor - 1st quintile (poorest) -urban,per_allsp.cba_q1_urb,0.363652492850611
West Bank and Gaza,PSE,2009,Coverage (%) -All Social Protection and Labor (preT),per_allsp.cov_pop_preT_tot,10.7172613483209
West Bank and Gaza,PSE,2007,Coverage (%) -All Social Protection and Labor (preT),per_allsp.cov_pop_preT_tot,11.4896494813473
West Bank and Gaza,PSE,2009,Coverage (%) -All Social Protection and Labor -rural,per_allsp.cov_pop_rur,6.27495945164834
West Bank and Gaza,PSE,2007,Coverage (%) -All Social Protection and Labor -rural,per_allsp.cov_pop_rur,18.5619287217498
West Bank and Gaza,PSE,2009,Coverage (%) -All Social Protection and Labor -urban,per_allsp.cov_pop_urb,12.3292198999854
West Bank and Gaza,PSE,2007,Coverage (%) -All Social Protection and Labor -urban,per_allsp.cov_pop_urb,7.39583995753571
West Bank and Gaza,PSE,2009,Coverage in 1st quintile (poorest) (%) -All Social Protection and Labor (preT),per_allsp.cov_q1_preT_tot,25.9142213115538
West Bank and Gaza,PSE,2007,Coverage in 1st quintile (poorest) (%) -All Social Protection and Labor (preT),per_allsp.cov_q1_preT_tot,22.5016361032442
West Bank and Gaza,PSE,2009,Coverage in 1st quintile (poorest) (%) -All Social Protection and Labor -rural,per_allsp.cov_q1_rur,13.9315164378774
West Bank and Gaza,PSE,2007,Coverage in 1st quintile (poorest) (%) -All Social Protection and Labor -rural,per_allsp.cov_q1_rur,19.3019149909732
West Bank and Gaza,PSE,2009,Coverage in 1st quintile (poorest) (%) -All Social Protection and Labor,per_allsp.cov_q1_tot,21.365925461559
West Bank and Gaza,PSE,2007,Coverage in 1st quintile (poorest) (%) -All Social Protection and Labor,per_allsp.cov_q1_tot,22.5016361032442
West Bank and Gaza,PSE,2009,Coverage in 1st quintile (poorest) (%) -All Social Protection and Labor -urban,per_allsp.cov_q1_urb,23.7541996901227
West Bank and Gaza,PSE,2007,Coverage in 1st quintile (poorest) (%) -All Social Protection and Labor -urban,per_allsp.cov_q1_urb,14.4546927708197
West Bank and Gaza,PSE,2009,Coverage in 2nd quintile (%) -All Social Protection and Labor (preT),per_allsp.cov_q2_preT_tot,11.0998752338346
West Bank and Gaza,PSE,2007,Coverage in 2nd quintile (%) -All Social Protection and Labor (preT),per_allsp.cov_q2_preT_tot,13.8831000849213
West Bank and Gaza,PSE,2009,Coverage in 2nd quintile (%) -All Social Protection and Labor -rural,per_allsp.cov_q2_rur,5.19792957579966
West Bank and Gaza,PSE,2007,Coverage in 2nd quintile (%) -All Social Protection and Labor -rural,per_allsp.cov_q2_rur,27.975536750575
West Bank and Gaza,PSE,2009,Coverage in 2nd quintile (%) -All Social Protection and Labor,per_allsp.cov_q2_tot,11.3823284611033
West Bank and Gaza,PSE,2007,Coverage in 2nd quintile (%) -All Social Protection and Labor,per_allsp.cov_q2_tot,13.8831000849213
West Bank and Gaza,PSE,2009,Coverage in 2nd quintile (%) -All Social Protection and Labor -urban,per_allsp.cov_q2_urb,13.9233821235779
West Bank and Gaza,PSE,2007,Coverage in 2nd quintile (%) -All Social Protection and Labor -urban,per_allsp.cov_q2_urb,7.72704187440531
West Bank and Gaza,PSE,2009,Coverage in 3rd quintile (%) -All Social Protection and Labor (preT),per_allsp.cov_q3_preT_tot,9.72280364708059
West Bank and Gaza,PSE,2007,Coverage in 3rd quintile (%) -All Social Protection and Labor (preT),per_allsp.cov_q3_preT_tot,10.5534594014023
West Bank and Gaza,PSE,2009,Coverage in 3rd quintile (%) -All Social Protection and Labor -rural,per_allsp.cov_q3_rur,7.18986203726407
West Bank and Gaza,PSE,2007,Coverage in 3rd quintile (%) -All Social Protection and Labor -rural,per_allsp.cov_q3_rur,19.6854730322642
West Bank and Gaza,PSE,2009,Coverage in 3rd quintile (%) -All Social Protection and Labor,per_allsp.cov_q3_tot,11.7390574306733
West Bank and Gaza,PSE,2007,Coverage in 3rd quintile (%) -All Social Protection and Labor,per_allsp.cov_q3_tot,10.5534594014023
West Bank and Gaza,PSE,2009,Coverage in 3rd quintile (%) -All Social Protection and Labor -urban,per_allsp.cov_q3_urb,13.3170690276485
West Bank and Gaza,PSE,2007,Coverage in 3rd quintile (%) -All Social Protection and Labor -urban,per_allsp.cov_q3_urb,8.12651741377981
West Bank and Gaza,PSE,2009,Coverage in 4th quintile (%) -All Social Protection and Labor (preT),per_allsp.cov_q4_preT_tot,4.32766609590506
West Bank and Gaza,PSE,2007,Coverage in 4th quintile (%) -All Social Protection and Labor (preT),per_allsp.cov_q4_preT_tot,8.01504331175868
West Bank and Gaza,PSE,2009,Coverage in 4th quintile (%) -All Social Protection and Labor -rural,per_allsp.cov_q4_rur,3.31802942581499
West Bank and Gaza,PSE,2007,Coverage in 4th quintile (%) -All Social Protection and Labor -rural,per_allsp.cov_q4_rur,12.5886639932956
West Bank and Gaza,PSE,2009,Coverage in 4th quintile (%) -All Social Protection and Labor,per_allsp.cov_q4_tot,6.03462036951822
West Bank and Gaza,PSE,2007,Coverage in 4th quintile (%) -All Social Protection and Labor,per_allsp.cov_q4_tot,8.01504331175868
West Bank and Gaza,PSE,2009,Coverage in 4th quintile (%) -All Social Protection and Labor -urban,per_allsp.cov_q4_urb,7.5311736618972
West Bank and Gaza,PSE,2007,Coverage in 4th quintile (%) -All Social Protection and Labor -urban,per_allsp.cov_q4_urb,4.80748474551866
West Bank and Gaza,PSE,2009,Coverage in 5th quintile (richest) (%) -All Social Protection and Labor (preT),per_allsp.cov_q5_preT_tot,2.54406322460605
West Bank and Gaza,PSE,2007,Coverage in 5th quintile (richest) (%) -All Social Protection and Labor (preT),per_allsp.cov_q5_preT_tot,2.59443642556975
West Bank and Gaza,PSE,2009,Coverage in 5th quintile (richest) (%) -All Social Protection and Labor -rural,per_allsp.cov_q5_rur,1.76974778160551
West Bank and Gaza,PSE,2007,Coverage in 5th quintile (richest) (%) -All Social Protection and Labor -rural,per_allsp.cov_q5_rur,13.221137895378
West Bank and Gaza,PSE,2009,Coverage in 5th quintile (richest) (%) -All Social Protection and Labor,per_allsp.cov_q5_tot,3.07236493509875
West Bank and Gaza,PSE,2007,Coverage in 5th quintile (richest) (%) -All Social Protection and Labor,per_allsp.cov_q5_tot,2.59443642556975
West Bank and Gaza,PSE,2009,Coverage in 5th quintile (richest) (%) -All Social Protection and Labor -urban,per_allsp.cov_q5_urb,3.13990072073706
West Bank and Gaza,PSE,2007,Coverage in 5th quintile (richest) (%) -All Social Protection and Labor -urban,per_allsp.cov_q5_urb,1.92145669155568
West Bank and Gaza,PSE,2009,Gini inequality index reduction (%) - All Social Protection and Labor (preT),per_allsp_gini_preT_tot,1.30475680282842
West Bank and Gaza,PSE,2009,Gini inequality index reduction (%) - All Social Protection and Labor -rural,per_allsp_gini_rur,1.38281769370882
West Bank and Gaza,PSE,2009,Gini inequality index reduction (%) - All Social Protection and Labor,per_allsp_gini_tot,1.30475680282842
West Bank and Gaza,PSE,2009,Gini inequality index reduction (%) - All Social Protection and Labor -urban,per_allsp_gini_urb,1.28458556229789
West Bank and Gaza,PSE,2009,Poverty Headcount reduction (%) - All Social Protection and Labor -1st quintile (poorest) (preT),per_allsp_p0_preT_tot,4.5642970981842
West Bank and Gaza,PSE,2009,Poverty Headcount reduction (%) - All Social Protection and Labor -1st quintile (poorest) -rural,per_allsp_p0_rur,3.49777631772829
West Bank and Gaza,PSE,2009,Poverty Headcount reduction (%) - All Social Protection and Labor -1st quintile (poorest),per_allsp_p0_tot,4.5642970981842
West Bank and Gaza,PSE,2009,Poverty Headcount reduction (%) - All Social Protection and Labor - 1st quintile (poorest) -urban,per_allsp_p0_urb,4.90868466597004
West Bank and Gaza,PSE,2009,Poverty Gap reduction (%) - All Social Protection and Labor -1st quintile (poorest) (preT),per_allsp_p1_preT_tot,10.8384160686565
West Bank and Gaza,PSE,2009,Poverty Gap reduction (%) - All Social Protection and Labor -1st quintile (poorest) -rural,per_allsp_p1_rur,10.7327052696629
West Bank and Gaza,PSE,2009,Poverty Gap reduction (%) - All Social Protection and Labor -1st quintile (poorest),per_allsp_p1_tot,10.8384160686565
West Bank and Gaza,PSE,2009,Poverty Gap reduction (%) - All Social Protection and Labor - 1st quintile (poorest) -urban,per_allsp_p1_urb,10.8729418057489
West Bank and Gaza,PSE,2009,Coverage in 1st quintile (poorest) (%) - Active Labor Market (preT),per_lm_ac.cov_q1_preT_tot,0
West Bank and Gaza,PSE,2007,Coverage in 1st quintile (poorest) (%) - Active Labor Market (preT),per_lm_ac.cov_q1_preT_tot,0
West Bank and Gaza,PSE,2009,Coverage in 1st quintile (poorest) (%) - Active Labor Market -rural,per_lm_ac.cov_q1_rur,0
West Bank and Gaza,PSE,2007,Coverage in 1st quintile (poorest) (%) - Active Labor Market -rural,per_lm_ac.cov_q1_rur,0
West Bank and Gaza,PSE,2009,Coverage in 1st quintile (poorest) (%) - Active Labor Market,per_lm_ac.cov_q1_tot,0
West Bank and Gaza,PSE,2007,Coverage in 1st quintile (poorest) (%) - Active Labor Market,per_lm_ac.cov_q1_tot,0
West Bank and Gaza,PSE,2009,Coverage in 1st quintile (poorest) (%) - Active Labor Market -urban,per_lm_ac.cov_q1_urb,0
West Bank and Gaza,PSE,2007,Coverage in 1st quintile (poorest) (%) - Active Labor Market -urban,per_lm_ac.cov_q1_urb,0
West Bank and Gaza,PSE,2009,Coverage in 2nd quintile (%) - Active Labor Market (preT),per_lm_ac.cov_q2_preT_tot,0
West Bank and Gaza,PSE,2007,Coverage in 2nd quintile (%) - Active Labor Market (preT),per_lm_ac.cov_q2_preT_tot,0
West Bank and Gaza,PSE,2009,Coverage in 2nd quintile (%) - Active Labor Market -rural,per_lm_ac.cov_q2_rur,0
West Bank and Gaza,PSE,2007,Coverage in 2nd quintile (%) - Active Labor Market -rural,per_lm_ac.cov_q2_rur,0
West Bank and Gaza,PSE,2009,Coverage in 2nd quintile (%) - Active Labor Market,per_lm_ac.cov_q2_tot,0
West Bank and Gaza,PSE,2007,Coverage in 2nd quintile (%) - Active Labor Market,per_lm_ac.cov_q2_tot,0
West Bank and Gaza,PSE,2009,Coverage in 2nd quintile (%) - Active Labor Market -urban,per_lm_ac.cov_q2_urb,0
West Bank and Gaza,PSE,2007,Coverage in 2nd quintile (%) - Active Labor Market -urban,per_lm_ac.cov_q2_urb,0
West Bank and Gaza,PSE,2009,Coverage in 3rd quintile (%) - Active Labor Market (preT),per_lm_ac.cov_q3_preT_tot,0
West Bank and Gaza,PSE,2007,Coverage in 3rd quintile (%) - Active Labor Market (preT),per_lm_ac.cov_q3_preT_tot,0
West Bank and Gaza,PSE,2009,Coverage in 3rd quintile (%) - Active Labor Market -rural,per_lm_ac.cov_q3_rur,0
West Bank and Gaza,PSE,2007,Coverage in 3rd quintile (%) - Active Labor Market -rural,per_lm_ac.cov_q3_rur,0
West Bank and Gaza,PSE,2009,Coverage in 3rd quintile (%) - Active Labor Market,per_lm_ac.cov_q3_tot,0
West Bank and Gaza,PSE,2007,Coverage in 3rd quintile (%) - Active Labor Market,per_lm_ac.cov_q3_tot,0
West Bank and Gaza,PSE,2009,Coverage in 3rd quintile (%) - Active Labor Market -urban,per_lm_ac.cov_q3_urb,0
West Bank and Gaza,PSE,2007,Coverage in 3rd quintile (%) - Active Labor Market -urban,per_lm_ac.cov_q3_urb,0
